Team,ShotsTotal,OutOfBox,SixYardBox,PenaltyArea,OpenPlay,Counter,SetPiece,PenaltiesTaken,DribblesLost,DribblesWon,DribblesTotal,LongBallAccurate,LongBallInaccurate,ShortPassAccurate,ShortPassInaccurate,CrossAccurate,CrossInaccurate,CornerAccurate,CornerInaccurate,FreeKickAccurate,FreeKickInaccurate,TacklesAttempted,Interceptions,FoulsCommitted,TotalClearances,ShotsBlocked,CrossesBlocked,PassesBlocked,Rating,LeftSide,Middle,RightSide
Atalanta,18.7,6.3,1.4,11,13.3,0.7,4.4,0.3,7.1,9.1,16.2,28.4,24.8,416.1,60.5,5.6,14.6,2.7,3.8,12.8,1.6,26.5,11,14.1,13.2,2.9,1.1,7.5,6.93,37,25,37
Juventus,17.9,7.8,1.1,9,12.5,0.7,4.3,0.4,6.7,11.4,18.1,29.5,17.8,473.4,51,4.3,14,3.1,3.1,10.9,1,23.6,9.7,13.4,13.9,3.2,1.9,6.7,6.88,33,28,39
Inter,16.3,5.8,1.3,9.1,11.5,0.5,3.9,0.3,4.9,8.2,13.2,33,19.4,393.6,55.2,4.8,15.9,3.3,2.9,10.5,0.8,23.8,9.7,14.8,15.8,3.2,1.8,6.6,6.85,36,28,36
Lazio,15.3,5.1,0.6,9.6,10.6,1,3.1,0.5,5.8,9.5,15.3,32.8,21.2,362.6,53.1,4.8,14.7,2.4,3.3,9.9,1.2,24.6,9.9,12.2,15.6,3.7,1.6,6.9,6.84,38,31,31
Roma,16.9,6.8,1.3,8.8,11,0.7,4.9,0.4,6.7,11,17.7,32.3,23.6,360.8,47.2,5.8,14.8,3.3,3.7,10.8,2,21,10.5,14.2,15.8,2.8,1.3,6.3,6.80,33,31,36
AC Milan,16.3,7.2,0.9,8.3,12.4,0.5,3.2,0.2,6.7,10.6,17.3,29.1,23.5,393.2,53.9,4.3,14.4,2.3,3.2,11.1,2.1,25.4,11,14.3,15.9,2.8,1.8,6.5,6.79,37,28,35
Sassuolo,14.6,6.8,0.6,7.2,10.7,0.5,3.2,0.2,7.6,12.3,19.9,21,19.8,444.8,51.2,2.6,12.2,1.8,3.6,13.2,1.9,22.6,9.2,13.1,15.7,3.4,2.1,6.9,6.74,37,30,33
Napoli,18.1,8,1.1,9,13.7,0.3,3.9,0.1,5.9,9.5,15.4,27,16.2,503.9,54.8,4.8,16.6,2.7,3.2,13.2,1.2,21.6,8.7,11.1,11.1,2.3,1.3,6.2,6.73,39,27,34
Torino,11.7,4.4,0.8,6.5,7.6,0.4,3.5,0.2,7,11.8,18.8,31.5,28.8,276.6,49.5,5.6,14.3,3.2,1.6,11.6,2.9,23.9,13,15.9,21.2,4.2,1.9,7.2,6.70,38,28,34
Parma Calcio 1913,12.2,5.2,0.7,6.3,8.2,0.9,2.9,0.2,6.3,8.6,14.8,34.6,27.7,262.8,49.5,3.6,12.1,1.9,2.5,10.2,2.2,27.4,10.3,13.7,20.6,4.7,2.1,6.5,6.67,35,25,39
Fiorentina,14.4,5.4,0.9,8.2,9.5,0.6,4,0.3,6.4,11.3,17.7,24.9,25.6,307,49.2,4.5,14.6,2.1,3.4,11.6,2.3,26,9.1,14.4,17.5,2.6,1.9,6.5,6.67,40,26,34
Verona,11.7,3.9,1.1,6.8,8.1,0.5,2.9,0.2,5.7,8.6,14.3,25.2,32.8,303.3,59.2,4.6,15.2,1.9,3.5,10.7,2.5,19.7,10.4,14.6,20.4,4.6,1.7,4.9,6.66,42,24,33
Udinese,12.3,5,0.8,6.6,8.9,0.8,2.6,0,5.3,9.2,14.4,25.7,28,302.3,47.7,4.5,14.7,2.8,2.5,9.1,2.2,24.7,9.9,13.3,19.5,4,1.6,7.4,6.64,37,26,37
Cagliari,11.7,5.4,0.9,5.4,8.9,0.4,2.2,0.2,5.6,8.5,14.2,27.9,28.1,292.9,49.7,4.1,15.9,1.5,2.5,10,3.6,24.9,8.9,14.1,20.8,4.6,2.1,7.1,6.62,35,26,39
Bologna,14.6,6.3,1.2,7.1,10.5,0.5,3.4,0.2,7.3,9.2,16.5,23.6,24.6,335,55.9,4,15.3,2.7,3.3,13.3,1.7,25.5,10.8,15.7,16.3,3.3,1.7,7,6.61,36,25,39
Sampdoria,14.8,6.4,0.5,7.8,10.3,0.3,3.8,0.3,5.3,8.1,13.4,24.4,29.8,265.1,54.2,5.1,16.3,1.9,3.2,10.6,2.6,25.2,10.4,14.8,18.8,3.1,2.1,7.4,6.60,34,28,38
Lecce,13.9,6,0.9,7,10.2,0.4,2.9,0.4,4.4,7.8,12.2,31.3,25.1,302.3,49.2,5,13.7,4,0.8,11.6,2.1,24.2,10.1,12.3,19.7,3.9,1.9,6.4,6.55,39,25,36
Genoa,11.4,4.7,0.7,6,7.6,0.3,3.1,0.4,6.1,8.8,14.9,25.9,28.5,324.9,52.7,4.2,14.8,2,2.4,11.1,2.3,24.4,10.1,15,19.2,3.9,1.4,6.8,6.54,36,27,37
Brescia,11,4.4,0.8,5.8,6.8,0.4,3.7,0.1,4.6,7.2,11.8,22.3,28,234.7,55.5,4.4,12.4,2.3,1.9,11.7,3.7,22.1,9.5,13.3,22.2,4.5,2.1,6,6.48,31,25,44
SPAL 2013,12.3,5.4,0.5,6.4,8.7,0.2,3.2,0.2,4.3,9.4,13.7,25.2,27.4,299.8,48.5,3.9,14.3,1.9,2.3,11.4,2.6,23.8,10.4,14.2,18.8,4.5,1.3,5.8,6.48,36,26,38
