Team,OutOfBox,NearShots,OpenPlay,Counter,SetPiece,PenaltiesTaken,DribblesTotal,LongBallsAttempted,ShortPassesAttempted,CrossesAttempted,WingPlay,TacklesAttempted,FoulsCommitted,Interceptions,TotalClearances,ShotsBlocked,CrossesBlocked,PassesBlocked
Bayern Munich,5.8,12.299999999999999,13.9,0.4,3.6,0.2,21.8,59.1,598.9,25.0,74,23.3,9.5,10.0,10.1,2.3,1.3,6.2
Borussia Dortmund,4.2,8.9,9.2,0.9,2.9,0.1,22.1,55.9,609.3,15.0,78,23.9,9.0,11.0,12.5,2.6,1.3,7.8
RB Leipzig,5.5,10.7,11.1,0.7,4.1,0.1,18.3,50.900000000000006,491.0,18.5,73,28.9,11.0,10.7,16.4,2.5,1.6,9.1
Borussia M.Gladbach,4.6,9.6,9.6,0.6,3.7,0.2,18.8,53.6,428.8,16.8,74,26.8,12.5,11.2,16.3,3.1,1.5,8.6
Bayer Leverkusen,4.8,9.8,10.1,0.9,3.5,0.1,20.9,61.300000000000004,561.1,21.0,74,26.3,11.6,9.8,13.8,2.1,1.1,8.6
Eintracht Frankfurt,4.5,10.299999999999999,10.0,0.4,4.3,0.1,15.2,64.80000000000001,367.5,26.299999999999997,73,28.9,12.5,11.0,14.1,2.9,1.6,9.0
Wolfsburg,5.6,8.3,8.8,0.5,4.6,0.1,18.0,63.9,345.5,19.1,74,27.9,14.4,11.1,17.6,2.6,1.6,8.6
Hoffenheim,4.3,9.0,8.4,0.6,4.2,0.1,15.1,56.0,426.0,17.0,74,25.5,11.3,10.3,19.8,3.6,1.8,7.7
Freiburg,4.7,8.5,8.6,0.2,4.2,0.2,13.3,63.8,351.6,19.200000000000003,73,22.2,9.7,10.4,22.1,4.6,1.9,7.2
Hertha Berlin,3.9,6.699999999999999,7.2,0.6,2.7,0.1,15.5,68.7,328.3,15.5,73,25.5,13.7,12.1,21.7,3.8,1.9,8.9
Union Berlin,4.5,7.300000000000001,7.1,0.4,4.1,0.1,13.4,70.5,284.0,18.5,77,26.5,15.4,12.4,21.3,3.6,1.8,8.0
FC Koln,4.1,8.2,8.0,0.6,3.6,0.1,13.2,66.80000000000001,329.8,20.799999999999997,72,28.9,14.3,12.8,19.2,2.9,1.5,8.8
Mainz 05,5.6,7.7,8.8,0.5,3.9,0.1,18.1,59.0,303.7,18.1,70,26.3,13.6,10.7,20.1,3.2,1.8,8.6
Schalke 04,4.8,6.5,7.5,0.5,3.2,0.1,20.2,61.800000000000004,357.5,13.9,77,28.2,11.8,12.0,18.3,3.5,1.4,10.5
Augsburg,4.4,6.2,6.8,0.5,3.3,0.1,13.9,62.900000000000006,254.8,14.1,77,25.8,11.1,12.8,21.6,3.6,1.7,7.0
Werder Bremen,4.8,7.699999999999999,8.7,0.5,3.1,0.2,13.8,58.0,388.09999999999997,17.700000000000003,71,26.7,13.6,12.4,21.0,3.6,2.3,7.2
Fortuna Duesseldorf,5.9,6.699999999999999,8.4,0.4,3.7,0.1,13.3,67.6,329.8,20.8,77,24.5,12.0,11.0,16.5,3.1,1.8,7.2
Paderborn,5.8,6.8,8.0,0.6,4.0,0.1,20.3,57.1,337.90000000000003,16.9,78,31.0,12.5,10.7,20.7,3.3,1.9,9.5
Real Madrid,5.7,9.1,10.7,0.4,3.5,0.3,20.2,64.3,511.09999999999997,20.4,77,25.1,12.8,10.0,13.8,2.0,1.9,7.6
Barcelona,4.6,8.4,9.6,0.5,2.8,0.2,20.9,46.5,661.5999999999999,10.9,68,21.7,10.9,9.0,12.9,2.3,1.3,5.9
Sevilla,3.8,9.1,8.3,0.4,4.0,0.2,17.6,68.2,451.4,23.1,77,26.0,13.7,9.1,17.7,2.5,1.3,6.2
Atletico Madrid,4.1,7.7,7.9,0.4,3.3,0.2,14.3,57.699999999999996,366.70000000000005,15.1,73,26.7,13.5,10.8,17.5,2.8,1.9,7.2
Villarreal,4.8,8.1,9.3,0.8,2.7,0.3,18.2,64.1,419.59999999999997,16.3,75,24.7,12.7,8.9,20.2,3.1,1.5,6.5
Real Sociedad,3.9,7.3999999999999995,7.6,0.7,2.9,0.1,15.6,54.3,430.70000000000005,18.9,74,22.9,13.2,8.4,17.2,2.1,1.4,7.0
Athletic Bilbao,4.4,6.5,6.7,0.3,3.6,0.3,15.4,71.4,324.1,19.9,79,24.4,13.7,9.8,18.3,2.4,1.8,6.5
Granada,4.4,5.9,6.7,0.2,3.4,0.1,14.5,67.3,259.1,17.599999999999998,77,24.1,15.5,10.1,18.5,3.1,1.6,6.8
Osasuna,4.7,7.4,8.3,0.3,3.4,0.2,13.8,73.7,294.6,19.8,75,25.3,14.5,11.0,17.8,2.6,1.9,7.6
Celta Vigo,3.8,5.9,6.6,0.3,2.6,0.2,16.1,54.2,392.2,16.8,75,25.1,12.4,10.4,19.9,2.3,1.9,6.7
Real Betis,4.7,7.9,9.0,0.4,3.0,0.2,18.8,57.9,419.59999999999997,16.4,77,20.8,12.4,7.9,16.8,3.1,1.5,5.7
Getafe,4.1,6.8999999999999995,6.8,0.3,3.7,0.2,12.5,80.9,225.3,21.9,77,24.2,18.6,9.7,15.5,1.6,1.2,8.3
Valencia,3.2,5.7,5.8,0.4,2.4,0.2,14.4,60.4,376.2,17.8,73,22.6,10.9,9.5,18.4,3.4,1.6,5.4
Levante,4.7,6.6,8.1,0.4,2.6,0.1,16.8,61.9,322.3,18.3,77,22.0,12.3,8.7,18.6,2.8,2.0,5.5
Eibar,4.7,6.6,7.0,0.1,3.9,0.3,12.1,81.6,273.5,22.9,77,23.9,14.2,11.3,17.0,2.1,1.6,6.6
Real Valladolid,4.6,5.3,6.5,0.4,2.8,0.2,15.0,69.5,293.5,17.0,77,26.3,12.7,10.3,17.9,2.9,2.1,7.3
Leganes,4.8,6.6,7.1,0.5,3.7,0.1,15.3,66.4,274.2,20.3,77,25.2,15.6,11.0,17.3,1.9,1.3,6.5
Mallorca,4.7,6.3,7.4,0.2,3.2,0.3,18.6,53.3,313.0,18.0,73,24.2,13.4,9.9,16.2,3.1,1.7,6.4
Deportivo Alaves,2.3,5.8999999999999995,4.4,0.4,3.3,0.2,13.1,65.7,259.8,14.700000000000001,78,24.8,16.3,10.3,19.0,3.0,1.6,7.1
Espanyol,4.5,6.3,7.1,0.2,3.4,0.1,12.9,69.0,316.59999999999997,18.700000000000003,72,28.2,15.3,9.5,18.0,2.5,1.6,7.5
Paris Saint-Germain,4.4,12.2,12.2,0.6,3.5,0.3,24.9,38.0,622.0,19.2,71,28.3,12.3,9.4,10.1,2.1,1.4,7.4
Lyon,5.6,7.300000000000001,9.4,0.6,2.7,0.2,20.6,52.0,472.8,17.7,76,26.2,12.2,11.1,17.8,3.4,1.6,5.3
Marseille,6.2,7.2,8.4,0.8,4.1,0.2,18.2,53.5,427.2,17.8,79,31.8,13.4,11.2,17.9,2.1,1.5,7.4
Rennes,5.5,6.7,8.5,0.4,3.1,0.2,17.4,57.5,368.5,17.1,78,29.1,13.8,9.7,19.7,3.4,2.0,6.5
Reims,4.8,7.3,8.3,0.5,3.1,0.2,18.5,57.8,366.7,19.3,80,25.3,13.7,11.8,17.3,2.6,1.4,5.5
Monaco,4.4,9.2,9.2,0.6,3.6,0.1,17.5,50.5,423.7,18.3,75,29.4,12.0,10.0,16.7,2.5,1.5,6.4
Montpellier,5.4,7.3,8.4,0.3,3.8,0.2,16.0,67.7,339.6,21.9,78,28.6,15.0,11.0,17.7,3.0,1.2,4.9
Nice,5.2,6.9,7.8,0.4,3.7,0.2,22.3,45.3,474.59999999999997,14.1,75,27.7,10.5,12.1,15.9,2.9,1.5,7.1
Nantes,5.6,6.3,7.9,0.5,3.5,0.1,20.0,55.599999999999994,386.5,16.6,76,29.7,13.4,10.9,17.5,2.6,1.4,5.2
Bordeaux,5.4,5.7,7.4,0.3,3.3,0.1,18.1,53.8,445.6,15.2,72,30.3,13.5,10.8,19.4,3.2,1.3,5.3
Strasbourg,4.6,7.5,8.3,0.5,3.1,0.1,15.7,66.7,360.3,21.4,77,25.3,13.6,11.1,14.7,1.9,1.7,5.4
Metz,5.5,5.5,7.6,0.4,2.9,0.1,20.0,61.9,342.9,16.0,75,28.1,12.0,11.1,21.1,3.5,1.9,7.0
Lille,4.6,7.9,8.3,0.6,3.3,0.3,18.6,55.400000000000006,405.1,18.9,75,25.2,13.8,9.9,14.7,2.2,1.5,7.2
Dijon,4.7,7.300000000000001,7.9,0.3,3.7,0.0,19.4,65.5,354.3,16.099999999999998,74,29.5,12.5,11.9,19.6,3.6,1.9,6.3
Brest,4.6,7.0,8.7,0.4,2.3,0.2,13.0,64.4,391.5,18.6,80,27.6,11.8,12.6,18.1,2.9,1.5,6.4
Angers,6.0,7.0,8.8,0.5,3.6,0.0,17.1,58.7,373.7,19.6,77,25.5,12.0,9.6,16.9,1.8,1.7,6.4
Nimes,5.9,6.8,8.5,0.4,3.8,0.1,16.8,60.8,291.1,19.4,79,32.2,12.9,11.8,16.4,2.7,1.0,7.0
Saint-Etienne,4.5,6.5,7.2,0.5,3.1,0.2,17.3,56.400000000000006,363.7,20.1,78,28.4,13.3,13.4,15.8,2.3,1.5,7.3
Toulouse,4.5,6.8,7.6,0.4,3.1,0.2,16.8,55.3,339.3,19.0,75,29.9,14.1,11.4,19.8,2.8,1.6,6.3
Amiens,3.6,4.8,5.6,0.5,2.1,0.2,14.6,60.3,353.5,16.6,77,26.2,14.4,10.8,20.8,3.1,1.6,7.0
Manchester City,6.2,13.4,14.4,0.7,4.2,0.3,19.0,52.0,640.8000000000001,24.1,73,23.4,9.5,9.3,12.5,1.7,0.8,5.9
Liverpool,4.6,11.0,11.1,0.7,3.6,0.1,17.3,64.7,563.6,23.5,74,24.2,8.7,9.3,15.4,1.8,1.6,6.2
Leicester,5.3,8.9,9.6,0.8,3.6,0.2,18.1,54.7,469.40000000000003,20.5,77,30.8,11.0,11.1,18.4,2.4,2.0,8.6
Chelsea,5.6,10.9,11.6,0.5,4.2,0.2,18.9,56.400000000000006,555.3,22.7,74,26.2,10.2,12.1,15.4,2.4,1.3,7.1
Manchester United,6.4,7.8999999999999995,10.3,0.7,3.0,0.4,19.6,48.7,479.0,16.7,76,25.2,11.1,9.9,16.5,2.6,2.2,6.9
Wolverhampton Wanderers,4.3,7.9,8.0,0.9,3.2,0.1,21.5,67.4,373.70000000000005,18.9,79,27.6,10.7,11.5,17.2,2.9,1.4,7.1
Tottenham,4.7,7.0,8.3,0.8,2.5,0.1,19.7,54.6,436.0,16.8,71,28.8,11.1,10.0,22.1,3.9,1.7,7.7
Burnley,3.2,6.9,6.6,0.2,3.4,0.1,11.9,71.0,266.2,19.5,73,23.5,10.8,10.2,21.9,4.6,2.1,7.2
Sheffield United,2.3,6.9,6.1,0.6,2.6,0.0,14.1,72.8,319.90000000000003,22.799999999999997,81,26.3,10.8,11.0,23.2,2.8,1.8,6.1
West Ham,3.4,7.5,7.0,0.6,3.3,0.1,17.4,63.3,334.09999999999997,19.4,76,30.0,10.2,11.1,19.8,3.1,1.6,7.0
Arsenal,3.3,7.4,7.2,0.5,2.9,0.1,18.3,52.2,438.6,18.4,77,24.9,11.1,9.2,18.5,3.7,1.8,6.8
Southampton,5.2,8.0,8.6,0.5,3.9,0.1,17.9,66.2,346.20000000000005,18.2,76,30.9,11.8,11.2,21.7,3.3,1.6,9.6
Everton,4.0,8.3,7.4,0.4,4.5,0.0,16.0,62.5,353.90000000000003,21.2,77,27.8,12.4,10.7,19.2,2.9,1.5,6.9
Crystal Palace,3.3,6.6,6.2,0.4,3.3,0.1,18.4,57.5,329.0,15.5,77,28.4,11.2,11.7,21.1,3.6,2.1,6.9
Newcastle United,4.6,5.9,7.0,0.6,2.9,0.0,17.7,62.6,281.2,15.6,76,25.3,9.7,10.3,24.6,4.0,1.9,6.6
Brighton,4.5,7.7,8.5,0.3,3.3,0.1,15.4,57.900000000000006,420.8,18.099999999999998,77,27.3,10.2,11.0,18.5,3.6,1.5,7.9
