Team,ShotsTotal,OutOfBox,SixYardBox,PenaltyArea,OpenPlay,Counter,SetPiece,PenaltiesTaken,DribblesLost,DribblesWon,DribblesTotal,LongBallAccurate,LongBallInaccurate,ShortPassAccurate,ShortPassInaccurate,CrossAccurate,CrossInaccurate,CornerAccurate,CornerInaccurate,FreeKickAccurate,FreeKickInaccurate,TacklesAttempted,Interceptions,FoulsCommitted,TotalClearances,ShotsBlocked,CrossesBlocked,PassesBlocked,Rating,LeftSide,Middle,RightSide
Real Madrid,14.8,5.7,1.2,7.9,10.7,0.4,3.5,0.3,7.5,12.7,20.2,41.5,22.8,458.4,52.7,4.4,16,2.7,2.3,10.8,2,25.1,10,12.8,13.8,2,1.9,7.6,6.97,41,23,36
Barcelona,13,4.6,0.9,7.5,9.6,0.5,2.8,0.2,7.1,13.8,20.9,30.7,15.8,598.3,63.3,2.5,8.4,2.6,2.2,13.3,1,21.7,9,10.9,12.9,2.3,1.3,5.9,6.95,34,31,34
Sevilla,12.9,3.8,1.1,8,8.3,0.4,4,0.2,6.7,10.9,17.6,38.4,29.8,392.7,58.7,5.9,17.2,3.1,2.8,10.9,2.5,26,9.1,13.7,17.7,2.5,1.3,6.2,6.80,37,23,40
Atletico Madrid,11.8,4.1,0.9,6.8,7.9,0.4,3.3,0.2,5.1,9.1,14.3,25.4,32.3,309.1,57.6,3.4,11.7,2.1,2.7,8.7,3.2,26.7,10.8,13.5,17.5,2.8,1.9,7.2,6.78,36,27,37
Villarreal,13,4.8,0.8,7.3,9.3,0.8,2.7,0.3,6.8,11.3,18.2,35,29.1,365.2,54.4,3.6,12.7,2,1.9,10.1,2.2,24.7,8.9,12.7,20.2,3.1,1.5,6.5,6.75,40,25,35
Real Sociedad,11.3,3.9,0.8,6.6,7.6,0.7,2.9,0.1,6.2,9.3,15.6,26.2,28.1,367.1,63.6,4.4,14.5,2.3,2.4,11.5,2.8,22.9,8.4,13.2,17.2,2.1,1.4,7,6.69,35,27,39
Athletic Bilbao,10.8,4.4,0.7,5.8,6.7,0.3,3.6,0.3,6.6,8.9,15.4,34.4,37,267.6,56.5,4.7,15.2,2.2,2.4,8.8,3.6,24.4,9.8,13.7,18.3,2.4,1.8,6.5,6.67,38,21,41
Granada,10.4,4.4,0.9,5,6.7,0.2,3.4,0.1,6.7,7.9,14.5,27.9,39.4,204.8,54.3,3.9,13.7,2.4,1.9,8.5,5.2,24.1,10.1,15.5,18.5,3.1,1.6,6.8,6.65,34,23,43
Osasuna,12.2,4.7,1.1,6.3,8.3,0.3,3.4,0.2,5.5,8.3,13.8,31,42.7,228.7,65.9,4.4,15.4,2.2,2.5,8.5,4.4,25.3,11,14.5,17.8,2.6,1.9,7.6,6.61,43,25,32
Celta Vigo,9.7,3.8,0.5,5.4,6.6,0.3,2.6,0.2,6.3,9.7,16.1,24.9,29.3,334.3,57.9,3.2,13.6,2,2.6,10.9,3.3,25.1,10.4,12.4,19.9,2.3,1.9,6.7,6.61,36,26,39
Real Betis,12.6,4.7,0.9,7,9,0.4,3,0.2,7.1,11.7,18.8,29.7,28.2,368.7,50.9,4.1,12.3,2.9,1.9,14.2,2.9,20.8,7.9,12.4,16.8,3.1,1.5,5.7,6.61,40,23,37
Getafe,10.9,4.1,0.8,6.1,6.8,0.3,3.7,0.2,5.3,7.2,12.5,30.2,50.7,159.4,65.9,5.1,16.8,2.6,2.3,8.7,6.2,24.2,9.7,18.6,15.5,1.6,1.2,8.3,6.61,40,23,37
Valencia,8.9,3.2,0.7,5,5.8,0.4,2.4,0.2,5.3,9.1,14.4,30,30.4,326.8,49.4,3.3,14.5,2.1,2.3,12.2,2.3,22.6,9.5,10.9,18.4,3.4,1.6,5.4,6.60,34,27,39
Levante,11.2,4.7,1,5.6,8.1,0.4,2.6,0.1,6.6,10.2,16.8,29.1,32.8,270.3,52,3.8,14.5,2.3,2.7,10.4,2.8,22,8.7,12.3,18.6,2.8,2,5.5,6.60,41,23,36
Eibar,11.3,4.7,0.8,5.8,7,0.1,3.9,0.3,5.2,6.8,12.1,32.7,48.9,213,60.5,5.4,17.5,1.8,3.2,7.4,5.3,23.9,11.3,14.2,17,2.1,1.6,6.6,6.58,38,24,39
Real Valladolid,9.9,4.6,0.5,4.8,6.5,0.4,2.8,0.2,6.1,8.9,15,29.4,40.1,240.6,52.9,3.4,13.6,1.8,2.4,8.2,5.2,26.3,10.3,12.7,17.9,2.9,2.1,7.3,6.57,41,23,36
Leganes,11.4,4.8,0.6,6,7.1,0.5,3.7,0.1,6.3,9,15.3,25.7,40.7,220.3,53.9,4.8,15.5,1.8,2.3,8.1,4.8,25.2,11,15.6,17.3,1.9,1.3,6.5,6.55,39,23,38
Mallorca,11.1,4.7,0.7,5.6,7.4,0.2,3.2,0.3,8.3,10.3,18.6,24.1,29.2,260.2,52.8,3.9,14.1,2.2,2.3,11,2.8,24.2,9.9,13.4,16.2,3.1,1.7,6.4,6.52,38,27,35
Deportivo Alaves,8.2,2.3,0.8,5.1,4.4,0.4,3.3,0.2,6.5,6.6,13.1,28.1,37.6,200.3,59.5,3.9,10.8,1.9,1.6,8.2,4,24.8,10.3,16.3,19,3,1.6,7.1,6.52,40,23,38
Espanyol,10.8,4.5,0.7,5.6,7.1,0.2,3.4,0.1,5.5,7.4,12.9,28.7,40.3,258.9,57.7,4.4,14.3,1.9,2.2,8.3,4.5,28.2,9.5,15.3,18,2.5,1.6,7.5,6.47,34,29,38
