Team,ShotsTotal,OutOfBox,SixYardBox,PenaltyArea,OpenPlay,Counter,SetPiece,PenaltiesTaken,DribblesLost,DribblesWon,DribblesTotal,LongBallAccurate,LongBallInaccurate,ShortPassAccurate,ShortPassInaccurate,CrossAccurate,CrossInaccurate,CornerAccurate,CornerInaccurate,FreeKickAccurate,FreeKickInaccurate,TacklesAttempted,Interceptions,FoulsCommitted,TotalClearances,ShotsBlocked,CrossesBlocked,PassesBlocked,Rating,LeftSide,Middle,RightSide
Paris Saint-Germain,16.6,4.4,2.1,10.1,12.2,0.6,3.5,0.3,9.9,15,24.9,25.1,12.9,568.5,53.5,4.1,15.1,2.9,3.9,10.3,0.6,28.3,9.4,12.3,10.1,2.1,1.4,7.4,7.11,41,29,30
Lyon,12.9,5.6,0.9,6.4,9.4,0.6,2.7,0.2,8.5,12.1,20.6,28.5,23.5,417.6,55.2,3.7,14,2.3,2.4,10,1.5,26.2,11.1,12.2,17.8,3.4,1.6,5.3,6.84,38,23,38
Marseille,13.4,6.2,0.7,6.5,8.4,0.8,4.1,0.2,6.9,11.3,18.2,26.2,27.3,369.9,57.3,3.9,13.9,2.3,3.1,9.4,2.8,31.8,11.2,13.4,17.9,2.1,1.5,7.4,6.82,34,20,45
Rennes,12.2,5.5,0.8,5.9,8.5,0.4,3.1,0.2,8.1,9.3,17.4,29.4,28.1,313.6,54.9,4.4,12.7,1.7,2.7,9.9,2.6,29.1,9.7,13.8,19.7,3.4,2,6.5,6.80,38,22,40
Reims,12.1,4.8,0.5,6.8,8.3,0.5,3.1,0.2,7.8,10.8,18.5,28.4,29.4,310.5,56.2,4.3,15,2.2,2.9,10.7,2.6,25.3,11.8,13.7,17.3,2.6,1.4,5.5,6.74,46,20,34
Monaco,13.6,4.4,1,8.2,9.2,0.6,3.6,0.1,6.8,10.7,17.5,26,24.5,365.9,57.8,4.3,14,2.1,2.6,10.4,2.6,29.4,10,12,16.7,2.5,1.5,6.4,6.74,37,25,38
Montpellier,12.6,5.4,1,6.3,8.4,0.3,3.8,0.2,8.3,7.8,16,36.1,31.6,281.1,58.5,5.1,16.8,1.9,2.8,10.5,2.4,28.6,11,15,17.7,3,1.2,4.9,6.74,37,23,41
Nice,12.1,5.2,0.9,6,7.8,0.4,3.7,0.2,9.3,13,22.3,24.1,21.2,428.7,45.9,3,11.1,1.9,2.8,12.3,1,27.7,12.1,10.5,15.9,2.9,1.5,7.1,6.74,36,25,39
Nantes,11.9,5.6,0.5,5.8,7.9,0.5,3.5,0.1,8.5,11.5,20,24.7,30.9,325.7,60.8,3.8,12.8,1.9,3.4,9.3,2.7,29.7,10.9,13.4,17.5,2.6,1.4,5.2,6.72,40,24,36
Bordeaux,11.1,5.4,0.8,4.9,7.4,0.3,3.3,0.1,8.4,9.8,18.1,25.9,27.9,388.3,57.3,3.1,12.1,1.7,3.2,10.1,2.4,30.3,10.8,13.5,19.4,3.2,1.3,5.3,6.72,34,28,38
Strasbourg,12.1,4.6,0.8,6.7,8.3,0.5,3.1,0.1,6.3,9.4,15.7,38.2,28.5,305.6,54.7,5,16.4,2,2.7,9.1,1.9,25.3,11.1,13.6,14.7,1.9,1.7,5.4,6.72,36,23,41
Metz,11.1,5.5,0.5,5,7.6,0.4,2.9,0.1,8,12,20,25.4,36.5,293.4,49.5,3.3,12.7,1.7,2.6,8.2,3.8,28.1,11.1,12,21.1,3.5,1.9,7,6.72,40,25,35
Lille,12.5,4.6,0.5,7.4,8.3,0.6,3.3,0.3,7.7,11,18.6,25.6,29.8,348,57.1,4.1,14.8,2.4,3.1,9.3,2.9,25.2,9.9,13.8,14.7,2.2,1.5,7.2,6.72,35,24,40
Dijon,12,4.7,0.4,6.9,7.9,0.3,3.7,0,8.3,11.2,19.4,32,33.5,300.7,53.6,3.9,12.2,2,2.3,9.4,2.6,29.5,11.9,12.5,19.6,3.6,1.9,6.3,6.69,39,26,35
Brest,11.6,4.6,0.5,6.5,8.7,0.4,2.3,0.2,5.5,7.5,13,31.4,33,332.6,58.9,4.2,14.4,1.6,2.6,8.4,2.4,27.6,12.6,11.8,18.1,2.9,1.5,6.4,6.68,39,20,41
Angers,13,6,0.6,6.4,8.8,0.5,3.6,0,6.7,10.4,17.1,27.5,31.2,318.9,54.8,5,14.6,2,3.3,8.2,3.1,25.5,9.6,12,16.9,1.8,1.7,6.4,6.65,39,23,38
Nimes,12.8,5.9,0.8,6,8.5,0.4,3.8,0.1,8.4,8.3,16.8,25.3,35.5,234.4,56.7,4.8,14.6,2.1,3,9.4,4.9,32.2,11.8,12.9,16.4,2.7,1,7,6.64,38,21,41
Saint-Etienne,11,4.5,0.6,5.9,7.2,0.5,3.1,0.2,7,10.3,17.3,26.1,30.3,305.5,58.2,3.5,16.6,1.5,3.5,8.5,3,28.4,13.4,13.3,15.8,2.3,1.5,7.3,6.60,35,22,43
Toulouse,11.3,4.5,0.8,6,7.6,0.4,3.1,0.2,6.6,10.2,16.8,23,32.3,285.1,54.2,4.5,14.5,1.8,2.6,7.1,3.7,29.9,11.4,14.1,19.8,2.8,1.6,6.3,6.51,38,24,37
Amiens,8.4,3.6,0.5,4.3,5.6,0.5,2.1,0.2,5.9,8.8,14.6,26.3,34,293.8,59.7,3,13.6,1.5,2.3,8.9,2.7,26.2,10.8,14.4,20.8,3.1,1.6,7,6.50,41,23,36
